config,scheme,run,prr,pir_ms,collision_frac,pssch_fail_frac,lat_p50_ms,lat_p95_ms,within_pdb,sel_count,backoff_frac,backoff_steps_mean,hd_excl_frac,rsrp_excl_frac
retx2-sub10,sensing,2.0,0.7892631578947369,25.55657528729271,0.0,0.0001600170684873053,8.39915400000013,17.635389999999695,0.9576020272072553,106.0,0.0,0.0,0.22986672656483986,0.16829924842054234
retx2-sub10,sensing,3.0,0.7817263157894737,26.289758669806318,0.0084,0.00026923698239190134,7.8938409999995685,17.476328999999957,0.9575298933534417,105.0,0.0,0.0,0.25403628117913835,0.1749632869020622
retx2-sub10,sensing,4.0,0.7643578947368421,26.89352498046097,0.0308,0.019551186843455484,8.828613999999568,24.66519899999975,0.9473242074531082,111.0,0.0,0.0,0.24106249106249145,0.17183135516468862
retx2-sub10,sensing,5.0,0.7630842105263158,26.665123536852313,0.0266,0.010996057244982878,9.22856499999991,23.706746000000223,0.9489605892982771,108.0,0.0,0.0,0.2481407995296886,0.16759399232944205
retx2,random,1.0,0.3347157894736842,64.97433122184476,0.6425,0.43622566575653343,10.173030999999888,130.17303099999998,0.737310522674382,,,,,
retx2,random,2.0,0.3128947368421053,93.20514140880674,0.6632,0.4532528923795685,10.925552000000227,124.06411700000008,0.7806560134566863,,,,,
retx2,random,3.0,0.3168105263157895,106.67677111591532,0.6967,0.4588525091249078,8.59810800000016,125.60862800000017,0.7462205535435426,,,,,
retx2,random,4.0,0.3092736842105263,76.06909104207334,0.6723,0.47309051128925234,12.48729000000015,123.65638999999985,0.7456519519417311,,,,,
retx2,random,5.0,0.34317894736842103,73.55748758821831,0.6652,0.44074105840981215,10.205679000000245,130.4075039999999,0.7388503772774676,,,,,
retx2,sensing,1.0,0.5201368421052631,40.19493578077051,0.4439,0.24841432808578598,10.173031000000776,109.30806999999999,0.8244389128367029,103.0,0.6019417475728155,8.330097087378642,0.24717984281091088,0.6138359146247496
retx2,sensing,2.0,0.5378631578947368,38.26632555617851,0.4644,0.25575332090421815,9.575002000000055,107.63538999999955,0.8457443685539269,106.0,0.6415094339622641,9.783018867924529,0.22986672656483986,0.6208408206049716
retx2,sensing,3.0,0.5175263157894737,49.181308747881516,0.5016,0.26033188403616725,8.913860999999912,105.59810800000058,0.8524763551306824,105.0,0.5428571428571428,7.809523809523809,0.25403628117913835,0.6179875283446712
retx2,sensing,4.0,0.5465157894736842,39.66127400986011,0.4559814870711339,0.2477251651790889,9.828613999999902,109.5870699999999,0.8358404437681773,111.0,0.6036036036036037,8.585585585585585,0.23926068926068955,0.6213865651365651
retx2,sensing,5.0,0.5438315789473684,39.25931830933315,0.4625,0.23155640171346978,9.386458999999903,109.19641000000001,0.843662898730257,108.0,0.5833333333333334,8.351851851851851,0.2481407995296886,0.6106527410346856
